id,labels
1,0
2,1
3,0
4,1
5,0
6,1
7,1
8,1
9,0
10,0
11,1
12,1
13,1
14,1
15,1
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,0
47,1
48,0
49,0
50,1
51,1
52,1
53,0
54,1
55,0
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,0
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,0
73,1
74,0
75,1
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,1
84,1
85,1
86,0
87,1
88,0
89,0
90,0
91,0
92,1
93,1
94,1
95,1
96,1
97,0
98,0
99,1
100,0
101,1
102,0
103,0
104,1
105,1
106,0
107,1
108,1
109,0
110,0
111,0
112,1
113,0
114,1
115,1
116,0
117,0
118,1
119,1
120,1
121,0
122,1
123,0
124,0
125,1
126,0
127,0
128,1
129,0
130,0
131,0
132,0
133,1
134,0
135,0
136,0
137,0
138,1
139,1
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,1
151,1
152,0
153,0
154,0
155,1
156,1
157,0
158,0
159,1
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,1
198,1
199,1
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,1
211,0
212,1
213,0
214,1
215,1
216,1
217,1
218,1
219,1
220,0
221,0
222,1
223,1
224,0
225,1
226,0
227,0
228,0
229,0
230,1
231,1
232,0
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,1
248,1
249,1
250,1
251,1
252,0
253,0
254,1
255,0
256,1
257,0
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,0
268,0
269,0
270,0
271,1
272,0
273,0
274,1
275,1
276,1
277,1
278,0
279,0
280,1
281,1
282,1
283,0
284,0
285,1
286,0
287,0
288,1
289,1
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,1
298,1
299,1
300,0
301,0
302,0
303,1
304,1
305,0
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,0
314,0
315,0
316,0
317,0
318,1
319,1
320,0
321,1
322,0
323,0
324,0
325,1
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,1
347,1
348,0
349,1
350,0
351,1
352,0
353,1
354,1
355,1
356,1
357,0
358,1
359,1
360,1
361,0
362,1
363,1
364,0
365,1
366,0
367,1
368,1
369,1
370,1
371,1
372,0
373,1
374,0
375,0
376,1
377,0
378,0
379,1
380,0
381,1
382,1
383,1
384,0
385,1
386,0
387,1
388,0
389,1
390,1
391,0
392,0
393,0
394,1
395,1
396,1
397,1
398,1
399,0
400,1
401,1
402,1
403,0
404,1
405,1
406,1
407,1
408,0
409,0
410,1
411,0
412,0
413,1
414,1
415,0
416,0
417,0
418,1
419,1
